pais,quantidade,valor,ano,categoria
Bélgica,0,0,2018,Espumantes
Bélgica,0,0,2019,Espumantes
Bélgica,0,0,2020,Espumantes
Bélgica,0,0,2021,Espumantes
Bélgica,0,0,2022,Espumantes
Bélgica,0,0,2023,Espumantes
Bélgica,0,0,2024,Espumantes
Canada,0,0,1970,Espumantes
Canada,0,0,1971,Espumantes
Canada,0,0,1972,Espumantes
Canada,0,0,1973,Espumantes
Canada,0,0,1974,Espumantes
Canada,0,0,1975,Espumantes
Canada,0,0,1976,Espumantes
Canada,0,0,1977,Espumantes
Canada,0,0,1978,Espumantes
Canada,0,0,1979,Espumantes
Canada,0,0,1980,Espumantes
Canada,0,0,1981,Espumantes
Canada,0,0,1982,Espumantes
Canada,0,0,1983,Espumantes
Canada,0,0,1984,Espumantes
Canada,0,0,1985,Espumantes
Canada,0,0,1986,Espumantes
Canada,0,0,1987,Espumantes
Canada,0,0,1988,Espumantes
Canada,0,0,1989,Espumantes
Canada,0,0,1990,Espumantes
Canada,0,0,1991,Espumantes
Canada,0,0,1992,Espumantes
Canada,0,0,1993,Espumantes
Canada,0,0,1994,Espumantes
Canada,0,0,1995,Espumantes
Canada,0,0,1996,Espumantes
Canada,0,0,1997,Espumantes
Canada,0,0,1998,Espumantes
Canada,0,0,1999,Espumantes
Canada,0,0,2000,Espumantes
Canada,0,0,2001,Espumantes
Canada,0,0,2002,Espumantes
Canada,0,0,2003,Espumantes
Canada,0,0,2004,Espumantes
Canada,0,0,2005,Espumantes
Canada,0,0,2006,Espumantes
Canada,0,0,2007,Espumantes
Canada,0,0,2008,Espumantes
Canada,0,0,2009,Espumantes
Canada,0,0,2010,Espumantes
Canada,0,0,2011,Espumantes
Canada,0,0,2012,Espumantes
Canada,0,0,2013,Espumantes
Canada,0,0,2014,Espumantes
Canada,0,0,2015,Espumantes
Canada,0,0,2016,Espumantes
Canada,0,0,2017,Espumantes
Canada,3852,109402,2018,Espumantes
Canada,0,0,2019,Espumantes
Canada,0,0,2020,Espumantes
Canada,0,0,2021,Espumantes
Canada,54,1017,2022,Espumantes
Canada,23,279,2023,Espumantes
Canada,161,2038,2024,Espumantes
Chile,0,0,1970,Espumantes
Chile,0,0,1971,Espumantes
Chile,201,192,1972,Espumantes
Chile,328,133,1973,Espumantes
Chile,180,340,1974,Espumantes
Chile,672,1140,1975,Espumantes
Chile,10980,15660,1976,Espumantes
Chile,630,1059,1977,Espumantes
Chile,45,76,1978,Espumantes
Chile,0,0,1979,Espumantes
Chile,861,1734,1980,Espumantes
Chile,18090,25350,1981,Espumantes
Chile,14865,21614,1982,Espumantes
Chile,900,1650,1983,Espumantes
Chile,4200,5500,1984,Espumantes
Chile,0,0,1985,Espumantes
Chile,900,800,1986,Espumantes
Chile,450,482,1987,Espumantes
Chile,0,0,1988,Espumantes
Chile,7449,12675,1989,Espumantes
Chile,540,1200,1990,Espumantes
Chile,10800,28600,1991,Espumantes
Chile,0,0,1992,Espumantes
