categoria,item,quantidade,ano
DERIVADOS,Licorosos,24300,1990
DERIVADOS,Licorosos,11500,1991
DERIVADOS,Licorosos,7800,1992
DERIVADOS,Licorosos,0,1993
DERIVADOS,Licorosos,0,1994
DERIVADOS,Licorosos,0,1995
DERIVADOS,Licorosos,0,1996
DERIVADOS,Licorosos,0,1997
DERIVADOS,Licorosos,0,1998
DERIVADOS,Licorosos,44740,1999
DERIVADOS,Licorosos,21000,2000
DERIVADOS,Licorosos,4000,2001
DERIVADOS,Licorosos,0,2002
DERIVADOS,Licorosos,34420,2003
DERIVADOS,Licorosos,0,2004
DERIVADOS,Licorosos,0,2005
DERIVADOS,Licorosos,0,2006
DERIVADOS,Licorosos,0,2007
DERIVADOS,Licorosos,0,2008
DERIVADOS,Licorosos,38000,2009
DERIVADOS,Licorosos,0,2010
DERIVADOS,Licorosos,0,2011
DERIVADOS,Licorosos,26775,2012
DERIVADOS,Licorosos,0,2013
DERIVADOS,Licorosos,0,2014
DERIVADOS,Licorosos,0,2015
DERIVADOS,Licorosos,0,2016
DERIVADOS,Licorosos,110820,2017
DERIVADOS,Licorosos,0,2018
DERIVADOS,Licorosos,0,2019
DERIVADOS,Licorosos,0,2020
DERIVADOS,Licorosos,0,2021
DERIVADOS,Licorosos,0,2022
DERIVADOS,Licorosos,0,2023
DERIVADOS,Licorosos,0,2024
DERIVADOS,Mistelas,1072100,1970
